<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<java.io.OutputStream: void write(byte[])>;"[B@5d2ea5a"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-2m54s174ms barrier=0 }"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (162ms)"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m33s62ms barrier=0 }"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@c167a9f","class com.funbox.game.angxde.Main"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GMenu","updateHighScore(), highScore>scoreArray[i], i=0"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@8f2dcc","class com.funbox.game.angxde.ScoreList"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (272ms)"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@f5a95e3","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m32s411ms barrier=0 }"
<android.content.Intent: android.content.Intent putExtra(java.lang.String,int)>;"gameScore","0"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","onStop()...call"
;this.browserLangs = new Array();","is.browserLangs = new Array();"
<android.util.Log: int w(java.lang.String,java.lang.String,java.lang.Throwable)>;"AdMobSDK","could not open connection to url http://r.admob.com/ad_source.php","java.net.UnknownHostException: Unable to resolve host ""r.admob.com"": No address associated with hostname"
;		cssNode.href = \""/UserCheck/css/UserCheckCSS\"" + (document.documentMode !== undefined ? \""?documentMode=\"" + document.documentMode : \""\"");","cssNode.href = ""/UserCheck/css/UserCheckCSS"" + (document.documentMode !== undefined ? ""?documentMode="" + document.documentMode : """");"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Length","247"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m39s885ms barrier=0 }"
;ORTAL_IS.CONF.MULTI_PORTALS.EXTERNAL_HOST		= \""192.168.0.0\"";","TAL_IS.CONF.MULTI_PORTALS.EXTERNAL_HOST		= ""192.168.0.0"";"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","onCreate(), mSoundOn=TRUE"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameAd","init(): lastShowGameId=-1,clickId="
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@7f9d55e","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m32s736ms barrier=0 }"
