<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.604563591515229"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:13.321515898811077"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.782934331937613"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.720523332443257"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:14.318833924922952"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.827949184496614"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.345427265710573"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:3.309787969814656"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.795678684235192"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.630891415626166"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.112244712469758"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","cocos2dxrenderer::nativeOnResume"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.897756510449884"
<java.net.URL: void <init>;ava.lang.String)>","https://apir.direct-tap.com/bootstrap.json?xoauth_requestor_id="
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:14.291642297014075"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.57923506456235"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.280805918446518"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.951306294636613"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.664069138513343"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.044421352216046"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.020810205444759"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-10h48m39s858ms barrier=0 }"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.31440621943032"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.486185457841454"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.691323092795853"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.655665270905539"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""529b9aaf-97f6-4903-ae1c-792b993b7a22"",oauth_signature=""vdzQ%2BBJm3%2BfPqazaeZNe%2BG%2FpChg%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682182456"",oauth_version=""1.0"""
