<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"music_expert.mp3"
<java.io.OutputStream: void write(byte[])>;"[B@94e28f5"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"sendTime","1682297451674"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"sendTime","1682297453206"
<java.net.URL: void <init>;ava.lang.String)>","http://da.mmarket.com/mmsdk/mmsdk?func=mmsdk:postactlog&appkey=300002900624&channel=0000000000&code=104"
<android.app.Activity: void setContentView(int)>;"2130903040"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"MobileUtils","310260000000000"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>;"pid","1"
<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>;"CENTER"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-length","440"
<java.io.OutputStream: void write(byte[])>;"[B@82cfc15"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"music_menu.mp3"
<java.lang.String: boolean startsWith(java.lang.String)>;"/"
<java.io.OutputStream: void write(byte[])>;"[B@d3e1d1b"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"apk path","/data/app/com.fox.qinliugan.msh-KKZgsAYrgs51a3chmZfQgg==/base.apk"
<java.io.OutputStream: void write(byte[])>;"[B@fc0918"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>;"screenDensity","440"
<java.net.URL: void <init>;ava.lang.String)>","http://da.mmarket.com/mmsdk/mmsdk?func=mmsdk:postsyslog&appkey=300002900624&channel=0000000000&code=104"
<java.lang.String: boolean startsWith(java.lang.String)>;"lib//"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"MobileAgent","send actlog success:act0 size:377"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>;"versionCode","45"
<android.view.View: void setFocusableInTouchMode(boolean)>;"1"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"MobileAgent","send syslog success"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>;"screenWidth","1977"
<java.lang.String: boolean startsWith(java.lang.String)>;"lib/x86/"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Type","application/octet-stream"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Charset","UTF-8"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>;"screenHeight","1080"
